Danske regenter;Fødselår;Dødsår;Regeringperiodens_ begyndelse;Regeringperiodens_ende;Varighed (antal år) 
 Frederik_X ;1968;NA;2024;NA;1
Margrete_ll ;1940;NA;1973;2024;52
Frederik_IX;1899;1972;1947;1972;25
Christian_X;1870;1949;1912;1947;35
Frederik_IVVV;1843;1912;1906;1912;6
Christian_IX;1818;1906;1863;1906;43
Frederik_VII;1808;1863;1849;1863;14
Christian_IVVV;1786;1848;1839;1848;9
Frederik_VII;1768;1838;1808;1839;31
Christian_VII;1749;1808;1766;1808;42
Frederik_V;1723;1766;1748;1766;18
Christian_VI;1699;1746;1730;1748;18
Frederik_IV;1671;1730;1699;1730;31
Christian_V;1646;1699;1670;1699;29
Frederik_lll;1606;1670;1648;1670;22
Christian_IV_myndig;1577;1648;1596;1648;52
Frederik_ll;1534;1588;1559;1588;29
Christian_lll;1503;1559;1536;1559;23
Interregnum;NA;NA;1533;1536;NA
Frederik_l;1471;1533;1523;1533;10
Christian_ll;1481;1559;1511;1523;12
Hans ;1455;1513;1482;1511;29
Christian_l;1426;1481;1448;1481;33
Kristoffer lll_ af_Bayeren;1416;1448;1440;1448;8
Erik Vll_ af_Pommern;1382;1459;1396;1439;43
Margrete_l;1353;1412;1387;1396;9
Oluf_ll ;1370;1387;1375;1387;12
Valdemar IV_Atterdag;1320;1375;1340;1375;35
Interregnum;NA;NA;1332;1340;NA
Kristoffer_ll;1276;1332;1329;1332;3
Valdemar_lll;1215;1364;1326;1329;3
Kristoffer_ll;1276;1332;1319;1326;7
Erik VI_Menved;1272;1319;1286;1319;33
Erik V_Klipping ;1249;1286;1259;1286;27
Kristoffer_l;1219;1259;1252;1259;7
Abel;1218;1252;1250;1252;2
Erik IV_Plovpenning;1216;1250;1241;1250;9
Valdemar ll_Sejr;1170;1241;1202;1241;39
Knud_IV;1163;1202;1182;1202;20
Valdemar _l_den_store;1131;1182;1157;1182;25
Svend_lll;NA;1157;1146;1157;11
Knud_lll;NA;1157;1146;1157;11
Erik_lll_Lam;NA;1146;1137;1146;9
Erik_ll_Emune ;NA;1137;1134;1137;3
Niels ;NA;1134;1104;1134;30
Erik_l_Ejegod;1056;1103;1095;1103;8
Oluf_1_Hunger;NA;1095;1086;1095;9
Knud_ ll_Den_Hellige ;NA;1086;1080;1086;6
Harald_lll_Hen;NA;1080;1074;1080;6
Svend_ll_Estridsen;NA;1076;1047;1074;27
Magnus_den_Gode;1024;1047;1042;1047;5
Hardeknud;1020;1042;1035;1042;7
Knud_1_den_Store;995;1035;1018;1035;10
Harald_ll;NA;1018;1014;1018;4
Svend_l_Tveskæg;NA;1014;987;1014;27
Harald_1_Blåtand;NA;987;958;987;29
Gorm_den_Gamle;NA;958;936;958;22
;;;;;
